表名,起始日期,结束日期,覆盖天数,目标天数,达标率(%),是否达标,总行数
BTCUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105718
BTCUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8807
BTCUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
ETHUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105560
ETHUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8807
ETHUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
UNIUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105720
UNIUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8807
UNIUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
ETHUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35238
UNIUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35239
BTCUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35238
ETHUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
BTCUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
UNIUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
ETHUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4397
BTCUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
UNIUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
ETHUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
UNIUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
BTCUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
A2ZUSDT_5m,2025-07-30,2025-08-15,17,365,4.7,❌,5945
A2ZUSDT_15m,2025-07-30,2025-08-15,17,365,4.7,❌,1982
AAVEUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105719
A2ZUSDT_30m,2025-07-30,2025-08-15,17,365,4.7,❌,1092
