symbol,last_5m_utc,last_15m_utc,last_30m_utc,last_1h_utc,last_2h_utc,last_4h_utc,last_1d_utc
BTCUSDT,2025-08-15 13:55:00,2025-08-15 13:45:00,2025-08-15 13:30:00,2025-08-15 12:00:00,2025-08-15 12:00:00,2025-08-15 12:00:00,2025-08-14 00:00:00
ETHUSDT,2025-08-15 13:55:00,2025-08-15 13:45:00,2025-08-15 13:30:00,2025-08-15 12:00:00,2025-08-15 12:00:00,2025-08-15 12:00:00,2025-08-14 00:00:00
UNIUSDT,2025-08-15 13:55:00,2025-08-15 13:45:00,2025-08-15 13:30:00,2025-08-15 12:00:00,2025-08-15 12:00:00,2025-08-15 12:00:00,2025-08-14 00:00:00
1000BONKUSDT,2025-08-15 13:55:00,2025-08-15 14:00:00,2025-08-15 14:00:00,2025-08-15 12:00:00,2025-08-15 12:00:00,2025-08-15 12:00:00,2025-08-14 00:00:00
1000000MOGUSDT,2025-08-15 13:55:00,2025-08-15 14:00:00,2025-08-15 14:00:00,2025-08-15 14:00:00,2025-08-15 14:00:00,2025-08-15 12:00:00,2025-08-14 00:00:00
1000000BOBUSDT,2025-08-15 13:55:00,2025-08-15 14:00:00,2025-08-15 14:00:00,2025-08-15 14:00:00,2025-08-15 14:00:00,2025-08-15 12:00:00,2025-08-13 00:00:00
1000CATUSDT,2025-08-15 14:00:00,2025-08-15 14:00:00,2025-08-15 14:00:00,2025-08-15 14:00:00,2025-08-15 12:00:00,2025-08-15 12:00:00,2025-08-14 00:00:00
1000FLOKIUSDT,2025-08-15 14:00:00,2025-08-15 14:00:00,2025-08-15 14:00:00,2025-08-15 12:00:00,2025-08-15 12:00:00,2025-08-15 12:00:00,2025-08-13 00:00:00
1000CHEEMSUSDT,2025-08-15 14:00:00,2025-08-15 14:00:00,2025-08-15 14:00:00,2025-08-15 14:00:00,2025-08-15 14:00:00,2025-08-15 12:00:00,2025-08-13 00:00:00
1000LUNCUSDT,2025-08-15 14:00:00,2025-08-15 14:00:00,2025-08-15 14:00:00,2025-08-15 12:00:00,2025-08-15 12:00:00,2025-08-15 12:00:00,2025-08-13 00:00:00
1000PEPEUSDT,2025-08-15 14:00:00,2025-08-15 14:00:00,2025-08-15 14:00:00,2025-08-15 12:00:00,2025-08-15 12:00:00,2025-08-15 12:00:00,2025-08-13 00:00:00
1000RATSUSDT,2025-08-15 14:00:00,2025-08-15 14:00:00,2025-08-15 14:00:00,2025-08-15 12:00:00,2025-08-15 12:00:00,2025-08-15 12:00:00,2025-08-14 00:00:00
1000SATSUSDT,2025-08-15 14:00:00,2025-08-15 14:00:00,2025-08-15 14:00:00,2025-08-15 12:00:00,2025-08-15 12:00:00,2025-08-15 12:00:00,2025-08-14 00:00:00
