[08:43:51] [38;5;220m=== Binance USDT-M 永续 采集·机构级（补齐+实时｜5m..1d） ===[0m
[08:43:51] [INFO] ROOT=D:\quant_system_pro (3)\quant_system_pro
[08:43:51] [INFO] DB  =D:\quant_system_v2\data\market_data.db
[08:43:51] [INFO] TFs =['5m', '15m', '30m', '1h', '2h', '4h', '1d']
[08:45:39] [SAFE] 备份已生成：D:\quant_system_v2\data\market_data.backup.20250817.sqlite
[08:45:39] [INFO] ts 单位：毫秒
[08:45:45] [OK] DB符号=470  永续白名单交集=470  不存在/不支持=0
[08:45:46] [BF][  0.0%] 1000000BOBUSDT 5m fetched=205 kept=204 inserted=204 skipped=0 gaps=0
[08:45:46] [BF][  0.1%] 1000000MOGUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:46] [BF][  0.1%] 1000BONKUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:46] [BF][  0.1%] 1000CATUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:47] [BF][  0.2%] 1000CHEEMSUSDT 5m fetched=205 kept=204 inserted=204 skipped=0 gaps=0
[08:45:47] [BF][  0.2%] 1000FLOKIUSDT 5m fetched=205 kept=204 inserted=204 skipped=0 gaps=0
[08:45:48] [BF][  0.2%] 1000LUNCUSDT 5m fetched=205 kept=204 inserted=204 skipped=0 gaps=0
[08:45:49] [BF][  0.2%] 1000PEPEUSDT 5m fetched=205 kept=204 inserted=204 skipped=0 gaps=0
[08:45:49] [BF][  0.3%] 1000RATSUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:49] [BF][  0.3%] 1000SATSUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:49] [BF][  0.3%] 1000SHIBUSDT 5m fetched=205 kept=204 inserted=204 skipped=0 gaps=0
[08:45:49] [BF][  0.4%] 1000WHYUSDT 5m fetched=205 kept=204 inserted=204 skipped=0 gaps=0
[08:45:49] [BF][  0.4%] 1000XECUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:50] [BF][  0.4%] 1000XUSDT 5m fetched=205 kept=204 inserted=204 skipped=0 gaps=0
[08:45:50] [BF][  0.5%] 1INCHUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:50] [BF][  0.5%] 1MBABYDOGEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:50] [BF][  0.5%] A2ZUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:50] [BF][  0.5%] AAVEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:50] [BF][  0.6%] ACEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:50] [BF][  0.6%] ACHUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:50] [BF][  0.6%] ACTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:50] [BF][  0.7%] ACXUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:50] [BF][  0.7%] ADAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:50] [BF][  0.7%] AERGOUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:50] [BF][  0.8%] AEROUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:50] [BF][  0.8%] AEVOUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:50] [BF][  0.8%] AGLDUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:50] [BF][  0.9%] AGTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:50] [BF][  0.9%] AI16ZUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:50] [BF][  0.9%] AINUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:50] [BF][  0.9%] AIOTUSDT 5m fetched=205 kept=204 inserted=204 skipped=0 gaps=0
[08:45:50] [BF][  1.0%] AIOUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:50] [BF][  1.0%] AIUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:50] [BF][  1.0%] AIXBTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:50] [BF][  1.1%] AKTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:50] [BF][  1.1%] ALCHUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:50] [BF][  1.1%] ALGOUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:50] [BF][  1.2%] ALICEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:51] [BF][  1.2%] ALLUSDT 5m fetched=205 kept=204 inserted=204 skipped=0 gaps=0
[08:45:51] [BF][  1.2%] ALPHAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:51] [BF][  1.2%] ALPINEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:51] [BF][  1.3%] ALTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:51] [BF][  1.3%] ANIMEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:51] [BF][  1.3%] ANKRUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:51] [BF][  1.4%] APEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:51] [BF][  1.4%] API3USDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:51] [BF][  1.4%] APTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:51] [BF][  1.5%] ARBUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:51] [BF][  1.5%] ARCUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:51] [BF][  1.5%] ARKMUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:51] [BF][  1.6%] ARKUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:51] [BF][  1.6%] ARPAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:51] [BF][  1.6%] ARUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:51] [BF][  1.6%] ASRUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:51] [BF][  1.7%] ASTRUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:51] [BF][  1.7%] ATAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:51] [BF][  1.7%] ATHUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:51] [BF][  1.8%] ATOMUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:51] [BF][  1.8%] AUCTIONUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:45:51] [BF][  1.8%] AUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:01] [BF][  1.9%] AVAAIUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:01] [BF][  1.9%] AVAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:01] [BF][  1.9%] AVAXUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:01] [BF][  1.9%] AWEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:01] [BF][  2.0%] AXLUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
