[08:50:37] [38;5;220m=== Binance USDT-M 永续 采集·机构级（补齐+实时｜5m..1d） ===[0m
[08:50:37] [INFO] ROOT=D:\quant_system_pro (3)\quant_system_pro
[08:50:37] [INFO] DB  =D:\quant_system_v2\data\market_data.db
[08:50:37] [INFO] TFs =['5m', '15m', '30m', '1h', '2h', '4h', '1d']
[08:50:37] [INFO] ts 单位：毫秒
[08:50:42] [OK] DB符号=470  永续白名单交集=470  不存在/不支持=0
[08:50:42] [38;5;220m=== 补齐阶段启动：目标组合 3290（symbols 470 × TF 7） ===[0m
[08:50:42] [38;5;39m[TF] 5m → 预期 470 个标的[0m
[08:50:42] [BF] 1000000BOBUSDT 5m fetched=0 kept=1 inserted=1 skipped=0 gaps=0 delay=0s
[08:50:42] [BF] 1000000MOGUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:42] [BF] 1000BONKUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:42] [BF] 1000CATUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:43] [BF] 1000CHEEMSUSDT 5m fetched=0 kept=1 inserted=1 skipped=0 gaps=0 delay=0s
[08:50:43] [BF] 1000FLOKIUSDT 5m fetched=0 kept=1 inserted=1 skipped=0 gaps=0 delay=0s
[08:50:44] [BF] 1000LUNCUSDT 5m fetched=0 kept=1 inserted=1 skipped=0 gaps=0 delay=0s
[08:50:44] [BF] 1000PEPEUSDT 5m fetched=0 kept=1 inserted=1 skipped=0 gaps=0 delay=0s
[08:50:44] [BF] 1000RATSUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:44] [BF] 1000SATSUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:45] [BF] 1000SHIBUSDT 5m fetched=0 kept=1 inserted=1 skipped=0 gaps=0 delay=0s
[08:50:45] [BF] 1000WHYUSDT 5m fetched=0 kept=1 inserted=1 skipped=0 gaps=0 delay=0s
[08:50:45] [BF] 1000XECUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:46] [BF] 1000XUSDT 5m fetched=0 kept=1 inserted=1 skipped=0 gaps=0 delay=0s
