Symbol,时间周期,策略,参数JSON,总收益(%),年化(%),夏普比,胜率(%),交易次数,最大回撤(%),手续费滑点成本(%),资金费率影响(%),冲击成本(%)
BTCUSDT,5m,A1,"{""n"": 2.1921903962826255, ""period"": 32}",-81.85998790508326,-25.052473922819118,-1.4534340716398664,24.49040767386091,1064,81.85998790508326,85.11999999999999,0.0,4.207496805815641
BTCUSDT,5m,A1,"{""n"": 2.1731986594738184, ""period"": 22}",-84.64172609502334,-27.130790809519645,-1.6789271269764492,20.466949666464522,1180,84.64172609502334,94.39999999999999,0.0,4.666208863592533
BTCUSDT,5m,A1,"{""n"": 1.3178576407208384, ""period"": 20}",-99.22834268366098,-56.03467976179888,-2.7705908220337,28.82746534968934,2988,99.22834268366098,239.03999999999996,0.0,11.815789902046177
BTCUSDT,5m,A1,"{""n"": 1.5395473871893364, ""period"": 24}",-97.88409127644574,-47.86655954558573,-2.3931235020576223,28.110072689511945,2459,97.88409127644574,196.71999999999997,0.0,9.723904742011898
BTCUSDT,5m,A1,"{""n"": 1.3546314330832145, ""period"": 26}",-98.35809620930596,-50.053135166373195,-2.3368005903063738,31.087600507829034,2593,98.35877544753684,207.43999999999997,0.0,10.253796257030032
BTCUSDT,5m,A1,"{""n"": 1.4576385737879747, ""period"": 30}",-97.24035948900325,-45.47394456894488,-2.117247737251937,31.213872832369944,2293,97.24035948900325,183.43999999999997,0.0,9.067471969675998
BTCUSDT,5m,A1,"{""n"": 2.7951795358401688, ""period"": 30}",-44.43354846513269,-9.449738615778003,-0.746533431421272,21.985058697972253,365,44.61552615350066,29.2,0.0,1.4433612162807412
BTCUSDT,5m,A1,"{""n"": 2.528143411795969, ""period"": 20}",-58.64010542766713,-13.855706069783725,-1.0951754087715397,18.8168210976479,582,58.67997488435466,46.559999999999995,0.0,2.3014691174668256
BTCUSDT,5m,A1,"{""n"": 2.4342093081533394, ""period"": 30}",-70.20740904143128,-18.499920974433625,-1.2035086538416062,23.21772639691715,735,70.20740904143128,58.8,0.0,2.906494504017383
BTCUSDT,5m,A1,"{""n"": 1.9688914699379858, ""period"": 24}",-91.69732080555337,-34.322409937437484,-1.9393429958629298,22.873539659766344,1557,91.69732080555337,124.55999999999999,0.0,6.157023051367435
BTCUSDT,5m,A1,"{""n"": 1.2660165717934604, ""period"": 18}",-99.43839945430976,-58.332484422644626,-2.8806244303319817,28.57887680619693,3224,99.43839945430976,257.91999999999996,0.0,12.749031674764684
BTCUSDT,5m,A1,"{""n"": 2.173043815856095, ""period"": 30}",-83.12926663798082,-25.965318497549283,-1.522507970777025,23.841445642669775,1114,83.12926663798082,89.11999999999999,0.0,4.405217520374645
BTCUSDT,5m,A1,"{""n"": 2.3680633605792862, ""period"": 22}",-73.51757250001431,-20.10550071653727,-1.3664607814552996,19.554342883128694,842,73.51757250001431,67.36,0.0,3.329616833173654
BTCUSDT,5m,A1,"{""n"": 1.9474377053366498, ""period"": 20}",-93.20034374057802,-36.501249111749324,-2.132803310868885,20.834168838981352,1703,93.20034374057802,136.23999999999998,0.0,6.734367537879732
BTCUSDT,5m,A1,"{""n"": 2.6491706170147076, ""period"": 22}",-50.52474577155051,-11.20854345124711,-0.921897495454373,19.40700808625337,463,50.62902115473938,37.03999999999999,0.0,1.8308938168163922
BTCUSDT,5m,A1,"{""n"": 2.780379539136056, ""period"": 32}",-44.16379651606476,-9.37562651701912,-0.7278467956481179,22.831505483549353,385,44.193223838624206,30.8,0.0,1.5224495021043436
BTCUSDT,5m,A1,"{""n"": 2.5025335479157778, ""period"": 32}",-65.64340441620394,-16.51365046483545,-1.0863232318247265,23.532608695652176,660,65.64340441620394,52.79999999999999,0.0,2.6099134321788746
BTCUSDT,5m,A1,"{""n"": 1.3649313058184984, ""period"": 24}",-98.71887179899603,-52.103417155676034,-2.4942018291209376,30.11854360711262,2700,98.71887179899603,215.99999999999997,0.0,10.676918586186305
BTCUSDT,5m,A1,"{""n"": 2.5597678822237917, ""period"": 22}",-57.59617567472113,-13.492183899229849,-1.0686928511475624,19.592134013109977,559,57.68554712109661,44.72,0.0,2.210517588769683
BTCUSDT,5m,A1,"{""n"": 2.3408712344230844, ""period"": 26}",-75.08721434204209,-20.92593202216686,-1.325230041034176,22.24032586558045,883,75.08721434204209,70.63999999999999,0.0,3.4917478191120397
BTCUSDT,5m,A1,"{""n"": 1.7309580124257242, ""period"": 34}",-93.71998400698257,-37.34835658443516,-1.8412310643369474,30.113479103238305,1795,93.71998400698257,143.6,0.0,7.098173652668303
BTCUSDT,5m,A1,"{""n"": 2.7998359489058497, ""period"": 28}",-42.86768959117533,-9.02362754156989,-0.7581638228828327,21.092896174863387,360,43.054795398584986,28.799999999999997,0.0,1.4235891448248408
BTCUSDT,5m,A1,"{""n"": 2.7698291839913645, ""period"": 28}",-44.77103313979539,-9.54288192911681,-0.7946911873872019,21.193415637860085,383,44.951905580675756,30.639999999999993,0.0,1.514540673521983
BTCUSDT,5m,A1,"{""n"": 2.709682597707944, ""period"": 34}",-48.447939233405904,-10.589600333687521,-0.7815910841578838,23.434856175972925,437,48.447939233405904,34.959999999999994,0.0,1.728079045245709
BTCUSDT,5m,A1,"{""n"": 2.644734767983356, ""period"": 28}",-54.71006677942234,-12.524517111227917,-0.9363376504502134,21.638330757341574,494,54.74131109781227,39.519999999999996,0.0,1.9534806598429757
BTCUSDT,5m,A1,"{""n"": 2.9079889293613426, ""period"": 26}",-38.08426551515508,-7.77944572250111,-0.7353862286210135,19.203413940256045,293,38.19979672236333,23.439999999999998,0.0,1.158643387315773
BTCUSDT,5m,A1,"{""n"": 2.1686553498279295, ""period"": 35}",-82.06859310081663,-25.198776388452615,-1.4446884985047865,25.30775837389064,1049,82.06859310081663,83.91999999999999,0.0,4.148180591447939
BTCUSDT,5m,A1,"{""n"": 2.6854964951153906, ""period"": 17}",-42.4146438140106,-8.902153278128633,-0.8434258006933766,17.02944942381562,349,42.4146438140106,27.919999999999995,0.0,1.3800905876218592
BTCUSDT,5m,A1,"{""n"": 2.9479785071557476, ""period"": 24}",-34.6079202230832,-6.924456069547935,-0.691475773122158,18.718381112984822,252,34.89923024453789,20.159999999999997,0.0,0.9965124013773884
BTCUSDT,5m,A1,"{""n"": 2.7737251970159353, ""period"": 35}",-43.820206377029294,-9.281657664503939,-0.7013786866272381,24.355300859598856,388,43.820206377029294,31.039999999999996,0.0,1.5343127449778837
BTCUSDT,5m,A1,"{""n"": 2.3368695677138396, ""period"": 30}",-75.47331672376951,-21.134309402398742,-1.3304405558536716,23.536345776031435,875,75.47331672376951,70.0,0.0,3.4601125047825985
BTCUSDT,5m,A1,"{""n"": 2.983091214464252, ""period"": 32}",-33.06751833589868,-6.557634368964715,-0.598295109325395,22.033898305084744,254,33.25801532905015,20.32,0.0,1.0044212299597488
BTCUSDT,5m,A1,"{""n"": 2.6202514397085848, ""period"": 22}",-53.805676115903736,-12.231840807059735,-0.9907585026952371,19.147157190635454,495,53.90303652161125,39.599999999999994,0.0,1.957435074134156
BTCUSDT,5m,A1,"{""n"": 3.0318371719717545, ""period"": 25}",-30.927153316172486,-6.0594172272010365,-0.622143080631791,19.018404907975462,205,30.929360352554337,16.4,0.0,0.8106549296919231
BTCUSDT,5m,A1,"{""n"": 2.597122753260824, ""period"": 35}",-55.411490834111554,-12.754873182460912,-0.896825050330371,24.66755319148936,537,55.411490834111554,42.96,0.0,2.123520474363721
BTCUSDT,5m,A1,"{""n"": 2.336717709036151, ""period"": 30}",-75.47331672376951,-21.134309402398742,-1.3304405558536716,23.536345776031435,875,75.47331672376951,70.0,0.0,3.4601125047825985
BTCUSDT,5m,A1,"{""n"": 3.1477857996632177, ""period"": 26}",-26.912861574168755,-5.158622005311808,-0.5454165692655429,18.112244897959183,170,26.915196876408277,13.599999999999998,0.0,0.6722504295006191
BTCUSDT,5m,A1,"{""n"": 2.332735650993265, ""period"": 32}",-75.80879499767259,-21.317590478760827,-1.3198435870181804,23.82615444315095,860,75.80879499767259,68.8,0.0,3.4007962904148967
BTCUSDT,5m,A1,"{""n"": 2.3454573902934475, ""period"": 22}",-74.73709108344079,-20.739280040949716,-1.3966163490341068,19.498486813661913,881,74.73709108344079,70.48,0.0,3.483838990529679
BTCUSDT,5m,A1,"{""n"": 2.793983818913366, ""period"": 25}",-42.827259379182216,-9.0127546008533,-0.7868304501898913,19.603267211201867,353,42.94775819276414,28.24,0.0,1.3959082447865798
BTCUSDT,5m,A1,"{""n"": 2.8447188470410962, ""period"": 31}",-42.02504041909497,-8.79832324622496,-0.7063284749094293,22.3121387283237,338,42.21490586553509,27.04,0.0,1.3365920304188783
