Symbol,时间周期,策略,参数JSON,总收益(%),年化(%),夏普比,胜率(%),交易次数,最大回撤(%),手续费滑点成本(%),资金费率影响(%),冲击成本(%)
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 64}",-32.633732163370865,-12.506179102906312,-0.3826185277246074,47.968487854694,285,36.02300636063605,22.799999999999997,0.0,1.138927867567311
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 50}",-40.96351499726886,-16.326013592903777,-0.5084788198595719,47.50924515988688,343,42.310239986028584,27.439999999999998,0.0,1.3711170286179404
BTCUSDT,5m,A2,"{""fast"": 8, ""slow"": 44}",-49.7652720450552,-20.772433205256558,-0.6703118420106552,46.89970266154181,420,51.009634794398565,33.599999999999994,0.0,1.679368156219638
BTCUSDT,5m,A2,"{""fast"": 10, ""slow"": 52}",-46.381641732965086,-19.006366075411265,-0.602163798035441,47.13435867672664,360,47.298248518791254,28.799999999999997,0.0,1.4391724723741595
BTCUSDT,5m,A2,"{""fast"": 8, ""slow"": 56}",-49.989843870856866,-20.89239933696534,-0.673623594821236,47.08188153310105,381,50.757447401697256,30.479999999999997,0.0,1.5232409617200766
BTCUSDT,5m,A2,"{""fast"": 10, ""slow"": 62}",-39.261524015655944,-15.517816119875016,-0.4841232269236838,47.54706010611237,327,41.75822272257725,26.16,0.0,1.3070648462591459
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 60}",-33.69600853323838,-12.975251681447642,-0.3978371681140644,48.05782710280374,278,36.735653102680565,22.24,0.0,1.1109050377853387
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 42}",-40.63988364345855,-16.171159736033115,-0.5070048795839692,47.50384869144491,356,42.112236770105525,28.48,0.0,1.4231594267844612
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 62}",-33.04328360236758,-12.686442126404874,-0.3885889780588465,48.108660727325834,277,36.89427570602546,22.16,0.0,1.1069017763879139
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 50}",-40.96351499726886,-16.326013592903777,-0.5084788198595719,47.50924515988688,343,42.310239986028584,27.439999999999998,0.0,1.3711170286179404
BTCUSDT,5m,A2,"{""fast"": 8, ""slow"": 42}",-49.35067207476751,-20.55188331302701,-0.662428085579186,46.93020561830292,427,50.60696503560612,34.16,0.0,1.7073909860016103
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 64}",-32.633732163370865,-12.506179102906312,-0.3826185277246074,47.968487854694,285,36.02300636063605,22.799999999999997,0.0,1.138927867567311
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 48}",-39.41135362856324,-15.58835707021946,-0.48387237283245005,47.57988208748817,334,40.87680553200246,26.72,0.0,1.3350876760411186
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 42}",-41.6451695188986,-16.654024758357412,-0.524779067076334,47.39533864250749,368,43.121661669640524,29.439999999999998,0.0,1.4711985635535563
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 46}",-40.60474189945992,-16.154378476899467,-0.5057198735639242,47.58170892569251,329,42.0558839300523,26.32,0.0,1.3150713690539952
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 66}",-30.830641380871793,-11.721064411500958,-0.3567396302669034,48.32224577820016,257,34.191364516832465,20.56,0.0,1.026836548439421
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 66}",-34.598635084026505,-13.377751361452816,-0.411372310352897,48.10034274046525,269,37.411921002675285,21.519999999999996,0.0,1.0748756852085168
BTCUSDT,5m,A2,"{""fast"": 8, ""slow"": 50}",-48.830705569034215,-20.276965153116077,-0.6517384651818855,46.95413109535523,394,50.32928098820169,31.52,0.0,1.575283359886597
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 48}",-39.41135362856324,-15.58835707021946,-0.48387237283245005,47.57988208748817,334,40.87680553200246,26.72,0.0,1.3350876760411186
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 54}",-37.34050891720181,-14.623421088368648,-0.45213562048546185,47.760651446851824,309,38.78828138984611,24.72,0.0,1.2350061411055027
BTCUSDT,5m,A2,"{""fast"": 10, ""slow"": 70}",-39.48370461723696,-15.622461817146615,-0.4891154457764841,47.71621523491395,309,41.03747513865883,24.72,0.0,1.2350061411055024
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 68}",-32.52435906765633,-12.458161574002503,-0.381460785541237,48.246956775275166,254,35.2861686615726,20.32,0.0,1.0148267642471471
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 70}",-30.582476418266925,-11.614071129253546,-0.3526322740940779,48.337335370734195,248,33.64490143800387,19.84,0.0,0.9908071958625994
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 70}",-30.582476418266925,-11.614071129253546,-0.3526322740940779,48.337335370734195,248,33.64490143800387,19.84,0.0,0.9908071958625994
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 70}",-30.582476418266925,-11.614071129253546,-0.3526322740940779,48.337335370734195,248,33.64490143800387,19.84,0.0,0.9908071958625994
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 62}",-33.04328360236758,-12.686442126404874,-0.3885889780588465,48.108660727325834,277,36.89427570602546,22.16,0.0,1.1069017763879139
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 67}",-32.37479809542302,-12.39258386414085,-0.3790295988665569,48.26252007592349,254,35.09401255743949,20.32,0.0,1.0148267642471471
BTCUSDT,5m,A2,"{""fast"": 15, ""slow"": 66}",-33.077193500554635,-12.701400156110598,-0.3895898414792603,48.12436140709386,259,35.70819951364681,20.72,0.0,1.0348430712342704
BTCUSDT,5m,A2,"{""fast"": 10, ""slow"": 71}",-39.70014116185487,-15.724646867024084,-0.491846022641619,47.73749093546048,305,41.251764932377945,24.399999999999995,0.0,1.218993095515804
