Symbol,时间周期,策略,参数JSON,总收益(%),夏普比,最大回撤(%),胜率(%),交易次数
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 64}",-32.633732163370865,-0.3826185277246074,36.02300636063605,47.968487854694,285
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 50}",-40.96351499726886,-0.5084788198595719,42.310239986028584,47.50924515988688,343
BTCUSDT,5m,A2,"{""fast"": 8, ""slow"": 44}",-49.7652720450552,-0.6703118420106552,51.009634794398565,46.89970266154181,420
BTCUSDT,5m,A2,"{""fast"": 10, ""slow"": 52}",-46.381641732965086,-0.602163798035441,47.298248518791254,47.13435867672664,360
BTCUSDT,5m,A2,"{""fast"": 8, ""slow"": 56}",-49.989843870856866,-0.673623594821236,50.757447401697256,47.08188153310105,381
BTCUSDT,5m,A2,"{""fast"": 10, ""slow"": 62}",-39.261524015655944,-0.4841232269236838,41.75822272257725,47.54706010611237,327
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 60}",-33.69600853323838,-0.3978371681140644,36.735653102680565,48.05782710280374,278
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 42}",-40.63988364345855,-0.5070048795839692,42.112236770105525,47.50384869144491,356
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 62}",-33.04328360236758,-0.3885889780588465,36.89427570602546,48.108660727325834,277
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 50}",-40.96351499726886,-0.5084788198595719,42.310239986028584,47.50924515988688,343
BTCUSDT,5m,A2,"{""fast"": 8, ""slow"": 42}",-49.35067207476751,-0.662428085579186,50.60696503560612,46.93020561830292,427
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 64}",-32.633732163370865,-0.3826185277246074,36.02300636063605,47.968487854694,285
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 48}",-39.41135362856324,-0.48387237283245005,40.87680553200246,47.57988208748817,334
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 42}",-41.6451695188986,-0.524779067076334,43.121661669640524,47.39533864250749,368
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 46}",-40.60474189945992,-0.5057198735639242,42.0558839300523,47.58170892569251,329
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 66}",-30.830641380871793,-0.3567396302669034,34.191364516832465,48.32224577820016,257
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 66}",-34.598635084026505,-0.411372310352897,37.411921002675285,48.10034274046525,269
BTCUSDT,5m,A2,"{""fast"": 8, ""slow"": 50}",-48.830705569034215,-0.6517384651818855,50.32928098820169,46.95413109535523,394
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 48}",-39.41135362856324,-0.48387237283245005,40.87680553200246,47.57988208748817,334
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 54}",-37.34050891720181,-0.45213562048546185,38.78828138984611,47.760651446851824,309
BTCUSDT,5m,A2,"{""fast"": 10, ""slow"": 70}",-39.48370461723696,-0.4891154457764841,41.03747513865883,47.71621523491395,309
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 68}",-32.52435906765633,-0.381460785541237,35.2861686615726,48.246956775275166,254
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 70}",-30.582476418266925,-0.3526322740940779,33.64490143800387,48.337335370734195,248
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 70}",-30.582476418266925,-0.3526322740940779,33.64490143800387,48.337335370734195,248
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 70}",-30.582476418266925,-0.3526322740940779,33.64490143800387,48.337335370734195,248
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 62}",-33.04328360236758,-0.3885889780588465,36.89427570602546,48.108660727325834,277
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 67}",-32.37479809542302,-0.3790295988665569,35.09401255743949,48.26252007592349,254
BTCUSDT,5m,A2,"{""fast"": 15, ""slow"": 66}",-33.077193500554635,-0.3895898414792603,35.70819951364681,48.12436140709386,259
BTCUSDT,5m,A2,"{""fast"": 10, ""slow"": 71}",-39.70014116185487,-0.491846022641619,41.251764932377945,47.73749093546048,305
BTCUSDT,5m,A2,"{""fast"": 15, ""slow"": 70}",-33.25845214311833,-0.3915845167841675,35.46208651390192,48.191806737975696,255
BTCUSDT,5m,A2,"{""fast"": 13, ""slow"": 66}",-34.4942493753997,-0.4104293872968334,37.49572008995422,47.95539033457249,278
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 72}",-33.16259206762212,-0.38964136334851474,35.4056536762556,48.20415879017013,257
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 70}",-30.582476418266925,-0.3526322740940779,33.64490143800387,48.337335370734195,248
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 72}",-28.45241190761878,-0.32277249189350227,31.697913472539373,48.45383275261324,241
BTCUSDT,5m,A2,"{""fast"": 15, ""slow"": 67}",-33.600149598335186,-0.39774232558762124,35.98217724852296,48.07117333916721,262
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 67}",-35.72331104077894,-0.42932084754453514,38.04100601557441,47.88783685360524,284
BTCUSDT,5m,A2,"{""fast"": 17, ""slow"": 63}",-32.40028413531171,-0.3795600842974887,35.54744391569924,48.151672644755145,263
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 62}",-32.7720752090248,-0.3850741783608735,35.99951493805983,48.20122842936531,268
BTCUSDT,5m,A2,"{""fast"": 17, ""slow"": 62}",-33.06548703214401,-0.389355400981357,36.73737980475117,48.10830589096231,267
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 66}",-34.598635084026505,-0.411372310352897,37.411921002675285,48.10034274046525,269
BTCUSDT,5m,A2,"{""fast"": 13, ""slow"": 67}",-34.703880530660605,-0.41312522959334913,37.47543909399792,47.99825302081817,277
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 69}",-35.36476812342511,-0.4221788311572285,37.406151000328045,48.07188591385332,266
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 66}",-34.545883680659614,-0.41093140956919505,37.16844578519408,47.912568306010925,282
BTCUSDT,5m,A2,"{""fast"": 18, ""slow"": 80}",-27.169045714115903,-0.30574373726127085,32.724263859119006,48.33164079500943,229
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 66}",-30.830641380871793,-0.3567396302669034,34.191364516832465,48.32224577820016,257
BTCUSDT,15m,A2,"{""fast"": 12, ""slow"": 64}",-7.475561145722298,-0.12302660813905607,13.047863524322167,47.482169872487574,94
BTCUSDT,15m,A2,"{""fast"": 12, ""slow"": 50}",-7.037592747912136,-0.11184533894019169,14.26519117809255,47.54239107104529,114
BTCUSDT,15m,A2,"{""fast"": 8, ""slow"": 44}",-9.898302039363871,-0.16539722610969806,17.70529831466857,47.02355460385439,141
