Symbol,时间周期,策略,参数JSON,总收益(%),年化(%),夏普比,胜率(%),交易次数,最大回撤(%),手续费滑点成本(%),资金费率影响(%),冲击成本(%)
BTCUSDT,5m,A4,"{""atr_n"": 18, ""k"": 2.1763864891683453}",-31.228653624580105,-11.894917364157799,-1.493188061388605,10.359408033826638,229,31.347892485494956,18.319999999999997,0.0,0.9167697689495194
BTCUSDT,5m,A4,"{""atr_n"": 18, ""k"": 1.5605056257486098}",-65.42334011904468,-30.17879950252994,-2.6057657193262447,10.882352941176471,649,65.52184241230344,51.92,0.0,2.598181572263049
BTCUSDT,5m,A4,"{""atr_n"": 12, ""k"": 1.3763553447420334}",-77.24313134208978,-39.39131381473297,-3.2265960319230924,10.366168127900979,924,77.30796130999038,73.92,0.0,3.699105967289764
BTCUSDT,5m,A4,"{""atr_n"": 14, ""k"": 1.684533204314375}",-59.05431715881593,-26.069386792710457,-2.467779157497526,9.332113449222323,528,59.12531062976982,42.239999999999995,0.0,2.113774838451294
BTCUSDT,5m,A4,"{""atr_n"": 12, ""k"": 1.803484505593778}",-50.47426039310704,-21.15528784852083,-2.13015695923445,9.886363636363637,424,50.56013035331479,33.919999999999995,0.0,1.6974252490593724
BTCUSDT,5m,A4,"{""atr_n"": 14, ""k"": 2.1056728323177465}",-33.89253011406774,-13.06445409928102,-1.587325209159993,9.885931558935361,254,34.00715022582374,20.32,0.0,1.0168538048610392
BTCUSDT,5m,A4,"{""atr_n"": 22, ""k"": 2.0388943136898097}",-36.309064137779416,-14.152690614511776,-1.6514299505573824,11.32404181184669,277,36.41949435389521,22.16,0.0,1.1089311178996373
BTCUSDT,5m,A4,"{""atr_n"": 20, ""k"": 1.277144235971459}",-82.56443820650189,-44.61326600779363,-3.4548739153409738,11.106271777003485,1087,82.61410878853113,86.96,0.0,4.351653881432872
BTCUSDT,5m,A4,"{""atr_n"": 20, ""k"": 2.0679580844092325}",-34.66351156874327,-13.408747672676125,-1.587258001337715,11.690647482014388,267,34.7767949180933,21.36,0.0,1.0688975035350294
BTCUSDT,5m,A4,"{""atr_n"": 16, ""k"": 1.5900388712825693}",-65.21561727942574,-30.03719341511959,-2.6257549561329467,10.427606901725431,639,65.31471133533987,51.12,0.0,2.558147957898441
