Symbol,时间周期,策略,参数JSON,总收益(%),年化(%),夏普比,胜率(%),交易次数,最大回撤(%),手续费滑点成本(%),资金费率影响(%),冲击成本(%)
ETHUSDT,5m,A4,"{""atr_n"": 18, ""k"": 2.1763864891683453}",-14.471068003335875,-10.168071911427024,-0.6560103938301278,16.751269035532996,93,14.471068003335875,7.4399999999999995,0.0,0.316247861872765
ETHUSDT,5m,A4,"{""atr_n"": 18, ""k"": 1.5605056257486098}",-33.177320161074974,-24.15956703328651,-1.2517264711082365,15.433403805496829,225,33.177320161074974,18.0,0.0,0.7651157948534637
ETHUSDT,5m,A4,"{""atr_n"": 12, ""k"": 1.3763553447420334}",-43.156979867432824,-32.12454600321922,-1.5948316461396204,14.69265367316342,319,43.156979867432824,25.52,0.0,1.0847641713700222
ETHUSDT,5m,A4,"{""atr_n"": 14, ""k"": 1.684533204314375}",-28.40055370847666,-20.48106975731676,-1.1018839878044058,16.08040201005025,190,28.40055370847666,15.2,0.0,0.6460977823207027
ETHUSDT,5m,A4,"{""atr_n"": 12, ""k"": 1.803484505593778}",-23.61070992771093,-16.869136393081842,-0.9959141624559722,15.853658536585366,157,23.61070992771093,12.559999999999999,0.0,0.5338807990755281
ETHUSDT,5m,A4,"{""atr_n"": 14, ""k"": 2.1056728323177465}",-14.041629434484271,-9.858907016924457,-0.6605958173585815,16.25615763546798,96,14.041629434484271,7.68,0.0,0.3264494058041445
ETHUSDT,5m,A4,"{""atr_n"": 22, ""k"": 2.0388943136898097}",-17.352840551331937,-12.255523530260037,-0.7592653222621797,16.23931623931624,111,17.352840551331937,8.879999999999999,0.0,0.37745712546104215
ETHUSDT,5m,A4,"{""atr_n"": 20, ""k"": 1.277144235971459}",-47.92084868899309,-36.080066348616725,-1.6844037519251842,15.07537688442211,379,47.92084868899309,30.319999999999997,0.0,1.2887950499976126
ETHUSDT,5m,A4,"{""atr_n"": 20, ""k"": 2.0679580844092325}",-14.71056292096703,-10.340702723131823,-0.655984171655703,17.370892018779344,101,14.71056292096703,8.08,0.0,0.34345197902311037
ETHUSDT,5m,A4,"{""atr_n"": 16, ""k"": 1.5900388712825693}",-32.42944841398428,-23.57832481543368,-1.2305422711127385,15.75492341356674,218,32.42944841398428,17.439999999999998,0.0,0.7413121923469116
ETHUSDT,5m,A4,"{""atr_n"": 12, ""k"": 1.2416441230281838}",-51.0028913927768,-38.699746843344585,-1.8429724020362186,15.22956326987682,426,51.0028913927768,34.08,0.0,1.4486192382558913
ETHUSDT,5m,A4,"{""atr_n"": 18, ""k"": 2.1373054003966696}",-14.952370190213326,-10.515154807867189,-0.6777415475467797,16.417910447761194,95,14.952370190213326,7.6,0.0,0.32304889116035135
ETHUSDT,5m,A4,"{""atr_n"": 20, ""k"": 1.539793125636126}",-33.64282569411798,-24.52238700253101,-1.2607849963207773,15.714285714285714,233,33.64282569411798,18.639999999999997,0.0,0.7923199120038091
ETHUSDT,5m,A4,"{""atr_n"": 16, ""k"": 1.2809075085529313}",-48.89859162563006,-36.905722487870044,-1.7555672633882418,14.956736711990112,386,48.89859162563006,30.879999999999995,0.0,1.3125986525041646
ETHUSDT,5m,A4,"{""atr_n"": 22, ""k"": 1.4789527649635164}",-36.93977850497209,-27.11540964429361,-1.3413096413607604,15.846994535519126,261,36.93977850497209,20.88,0.0,0.887534322030018
