Symbol,时间周期,策略,参数JSON,总收益(%),夏普比,最大回撤(%),胜率(%),交易次数
ETHUSDT,5m,A5,"{""lookback"": 40, ""lr"": 0.07303559752835692, ""n_estimators"": 250, ""num_leaves"": 58}",72.99147915891137,0.20625788742979978,20.337171671983246,50.16186340307935,409
ETHUSDT,5m,A5,"{""lookback"": 22, ""lr"": 0.07165582891480608, ""n_estimators"": 250, ""num_leaves"": 40}",-49.39945080196253,-0.08456446470571523,66.96585036791679,47.86653833814565,1098
ETHUSDT,5m,A5,"{""lookback"": 24, ""lr"": 0.05705965107638018, ""n_estimators"": 150, ""num_leaves"": 36}",-45.54445020798224,-0.06796606402518991,67.47584228355501,48.012976480129765,1157
ETHUSDT,5m,A5,"{""lookback"": 42, ""lr"": 0.055547204799548444, ""n_estimators"": 200, ""num_leaves"": 44}",-64.58372436817683,-0.16809487899126518,77.03648796420804,45.271929824561404,1840
ETHUSDT,5m,A5,"{""lookback"": 30, ""lr"": 0.03724137919119403, ""n_estimators"": 150, ""num_leaves"": 48}",-25.905452538373265,0.002741838138276351,59.80827576295379,49.45054945054945,757
ETHUSDT,5m,A5,"{""lookback"": 42, ""lr"": 0.0465166039011472, ""n_estimators"": 150, ""num_leaves"": 56}",-50.88136500267485,-0.09242951738328399,70.50577443719152,46.35288109626351,1750
ETHUSDT,5m,A5,"{""lookback"": 46, ""lr"": 0.02490481651712935, ""n_estimators"": 300, ""num_leaves"": 54}",-33.624289348385794,-0.023023701838524955,67.49074002019859,48.142557651991616,1459
ETHUSDT,5m,A5,"{""lookback"": 30, ""lr"": 0.06488214637762404, ""n_estimators"": 250, ""num_leaves"": 34}",-28.0741675905669,-0.004050219506047907,61.18038978888711,49.03647077560121,702
ETHUSDT,5m,A5,"{""lookback"": 38, ""lr"": 0.023244672466651038, ""n_estimators"": 250, ""num_leaves"": 54}",-31.11571309938973,-0.01458770188587054,65.35353679792908,47.95935365650508,1396
ETHUSDT,5m,A5,"{""lookback"": 42, ""lr"": 0.046099877219048374, ""n_estimators"": 200, ""num_leaves"": 42}",-26.63067814013723,0.0004474179386171975,61.04994326932158,49.41902396025323,733
ETHUSDT,5m,A5,"{""lookback"": 48, ""lr"": 0.036099485222632254, ""n_estimators"": 150, ""num_leaves"": 32}",-5.2117691339673256,0.05895070484692848,55.54149355849227,50.0240461686438,581
ETHUSDT,5m,A5,"{""lookback"": 30, ""lr"": 0.026289837022788115, ""n_estimators"": 250, ""num_leaves"": 56}",-14.447375854142287,0.035516148225613664,56.82540121149127,49.75310608474036,757
ETHUSDT,5m,A5,"{""lookback"": 26, ""lr"": 0.056546248945299166, ""n_estimators"": 250, ""num_leaves"": 40}",-51.63311214449973,-0.09504154683146178,69.22417492406177,47.665148063781324,1218
ETHUSDT,5m,A5,"{""lookback"": 46, ""lr"": 0.025331110883950247, ""n_estimators"": 200, ""num_leaves"": 34}",-43.944035999976435,-0.06271974582988236,71.54943363433317,46.46049990877577,1787
ETHUSDT,5m,A5,"{""lookback"": 50, ""lr"": 0.02102580139686467, ""n_estimators"": 300, ""num_leaves"": 38}",-1.787379157576241,0.06700974619116114,55.61149444287194,50.04852013585638,787
ETHUSDT,5m,A5,"{""lookback"": 30, ""lr"": 0.03225705512060973, ""n_estimators"": 300, ""num_leaves"": 60}",-44.141861647392275,-0.06249132097156301,65.7206948577082,47.55526337414742,1455
ETHUSDT,5m,A5,"{""lookback"": 34, ""lr"": 0.0690196858528019, ""n_estimators"": 250, ""num_leaves"": 60}",-33.39555142153908,-0.021816150616451282,59.3797778907821,48.50256245996156,924
ETHUSDT,5m,A5,"{""lookback"": 50, ""lr"": 0.041040997596399974, ""n_estimators"": 150, ""num_leaves"": 42}",-39.61481343071635,-0.045820718079761756,71.39480495569252,46.41924654979485,1978
ETHUSDT,5m,A5,"{""lookback"": 32, ""lr"": 0.02768461375558231, ""n_estimators"": 300, ""num_leaves"": 38}",-61.55052490039659,-0.1492656479475199,75.16571616594422,45.90106928627314,1807
ETHUSDT,5m,A5,"{""lookback"": 26, ""lr"": 0.07855999386433501, ""n_estimators"": 250, ""num_leaves"": 46}",-12.178528157745138,0.041584415040800154,55.700430005402794,50.02367424242424,445
ETHUSDT,5m,A5,"{""lookback"": 38, ""lr"": 0.07845508120929308, ""n_estimators"": 300, ""num_leaves"": 50}",-1.732582623846446,0.06720189161224263,53.687003874960816,50.15504492327264,458
ETHUSDT,5m,A5,"{""lookback"": 38, ""lr"": 0.07848024957417869, ""n_estimators"": 300, ""num_leaves"": 50}",-1.732582623846446,0.06720189161224263,53.687003874960816,50.15504492327264,458
ETHUSDT,5m,A5,"{""lookback"": 38, ""lr"": 0.07243895577654409, ""n_estimators"": 300, ""num_leaves"": 62}",95.98333952082298,0.24509778697347911,16.79246667284997,50.12324083644748,486
ETHUSDT,5m,A5,"{""lookback"": 36, ""lr"": 0.0632894740771224, ""n_estimators"": 200, ""num_leaves"": 62}",-48.581560230526165,-0.08127289511756192,68.74431778276198,47.62561896257813,1217
ETHUSDT,5m,A5,"{""lookback"": 40, ""lr"": 0.0740537744329894, ""n_estimators"": 300, ""num_leaves"": 62}",67.7557569651606,0.19676486132259943,20.83531378815653,50.082944940358644,437
ETHUSDT,5m,A5,"{""lookback"": 35, ""lr"": 0.04141911965824372, ""n_estimators"": 159, ""num_leaves"": 52}",-25.191996995183885,0.004741538680758089,60.713515977957236,48.99458935637568,995
ETHUSDT,5m,A5,"{""lookback"": 44, ""lr"": 0.0700371425381711, ""n_estimators"": 295, ""num_leaves"": 66}",-59.63253415949753,-0.1380715219738467,74.09038642278414,45.85417215056594,1907
ETHUSDT,5m,A5,"{""lookback"": 38, ""lr"": 0.08233082867823188, ""n_estimators"": 331, ""num_leaves"": 54}",84.86552400870198,0.227030279886898,16.729609558271385,49.90846135477195,519
ETHUSDT,5m,A5,"{""lookback"": 25, ""lr"": 0.0846467775270676, ""n_estimators"": 234, ""num_leaves"": 45}",-56.81354685436324,-0.12117774013507628,70.62532888900786,47.1104908881957,1254
ETHUSDT,5m,A5,"{""lookback"": 29, ""lr"": 0.02497202834850957, ""n_estimators"": 304, ""num_leaves"": 53}",-27.534831077173028,-0.0025855851194414767,60.537400746231874,49.018974566007266,1047
ETHUSDT,5m,A5,"{""lookback"": 33, ""lr"": 0.04275075067303968, ""n_estimators"": 170, ""num_leaves"": 47}",-25.58091630248821,0.0035374315176255463,61.233251225300265,48.929961089494164,994
ETHUSDT,5m,A5,"{""lookback"": 40, ""lr"": 0.08352510817768849, ""n_estimators"": 305, ""num_leaves"": 55}",74.05311444685141,0.20818316898598135,18.546552820541017,50.221448908573244,416
ETHUSDT,5m,A5,"{""lookback"": 34, ""lr"": 0.06539379465071174, ""n_estimators"": 238, ""num_leaves"": 56}",-28.50415341417749,-0.0055647348993651665,58.06035602881822,48.790419161676645,806
ETHUSDT,5m,A5,"{""lookback"": 25, ""lr"": 0.09359635066329587, ""n_estimators"": 250, ""num_leaves"": 47}",-69.55207276062323,-0.2017009718916276,79.22666708663164,45.73604485731024,1543
ETHUSDT,5m,A5,"{""lookback"": 31, ""lr"": 0.03898969518558442, ""n_estimators"": 139, ""num_leaves"": 49}",6.185002889399449,0.08490710402991151,54.53811888762985,50.46270663608321,444
ETHUSDT,5m,A5,"{""lookback"": 53, ""lr"": 0.0298959478974146, ""n_estimators"": 125, ""num_leaves"": 31}",-47.328228785705704,-0.07612276807266319,69.44877813698527,47.967412087455315,1325
ETHUSDT,5m,A5,"{""lookback"": 49, ""lr"": 0.06873470051054366, ""n_estimators"": 336, ""num_leaves"": 59}",-62.9920519121182,-0.1572050086250116,75.12430539704351,46.37460960580738,1612
