Symbol,时间周期,策略,参数JSON,总收益(%),年化(%),夏普比,胜率(%),交易次数,最大回撤(%),手续费滑点成本(%),资金费率影响(%),冲击成本(%)
SOLUSDT,5m,A4,"{""atr_n"": 18, ""k"": 2.1763864891683453}",-2.0031168654260356,-16.110797082863982,-1.1862848882103594,8.333333333333332,6,2.0031168654260356,0.48,0.0,0.032157506473685364
SOLUSDT,5m,A4,"{""atr_n"": 18, ""k"": 1.5605056257486098}",-3.751923205488805,-28.25161349638189,-1.0522753108330178,16.666666666666664,20,3.902003780037755,1.6,0.0,0.10719168824561788
SOLUSDT,5m,A4,"{""atr_n"": 12, ""k"": 1.3763553447420334}",-4.6006588502702,-33.56212295469029,-1.5565509078218067,16.9811320754717,25,4.663081836602434,1.9999999999999998,0.0,0.13398961030702233
SOLUSDT,5m,A4,"{""atr_n"": 14, ""k"": 1.684533204314375}",-3.454657091393931,-26.304751066460376,-1.293456163953904,15.151515151515152,16,3.517829945086559,1.2799999999999998,0.0,0.08575335059649429
SOLUSDT,5m,A4,"{""atr_n"": 12, ""k"": 1.803484505593778}",-1.9614024074547598,-15.80026712612559,-0.8338419850965352,15.789473684210526,9,2.3733687335385834,0.72,0.0,0.04823625971052804
SOLUSDT,5m,A4,"{""atr_n"": 14, ""k"": 2.1056728323177465}",-2.0031168654260356,-16.110797082863982,-1.1862848882103594,8.333333333333332,6,2.0031168654260356,0.48,0.0,0.032157506473685364
SOLUSDT,5m,A4,"{""atr_n"": 22, ""k"": 2.0388943136898097}",-1.4027658904021911,-11.54254437564698,-0.5228572837222875,16.666666666666664,9,1.7815853700289486,0.72,0.0,0.04823625971052804
SOLUSDT,5m,A4,"{""atr_n"": 20, ""k"": 1.277144235971459}",-5.182635675142999,-36.999539254931626,-1.3579478628139918,18.571428571428573,33,5.244677854533098,2.6399999999999997,0.0,0.17686628560526949
SOLUSDT,5m,A4,"{""atr_n"": 20, ""k"": 2.0679580844092325}",-2.3732178679845783,-18.821828299077083,-1.3500836150126687,7.142857142857142,7,2.3732178679845783,0.5599999999999999,0.0,0.03751709088596625
SOLUSDT,5m,A4,"{""atr_n"": 16, ""k"": 1.5900388712825693}",-2.702123590089134,-21.1657368715781,-0.832136709281659,18.421052631578945,18,3.609575216384664,1.44,0.0,0.09647251942105609
SOLUSDT,5m,A4,"{""atr_n"": 12, ""k"": 1.2416441230281838}",-5.3330171934470645,-37.86176090270761,-1.278227269431179,18.29268292682927,39,5.394960973169538,3.1199999999999997,0.0,0.20902379207895486
SOLUSDT,5m,A4,"{""atr_n"": 18, ""k"": 2.1373054003966696}",-2.0031168654260356,-16.110797082863982,-1.1862848882103594,8.333333333333332,6,2.0031168654260356,0.48,0.0,0.032157506473685364
SOLUSDT,5m,A4,"{""atr_n"": 20, ""k"": 1.539793125636126}",-4.704350540767821,-34.18645378460597,-1.2980575790352433,14.583333333333334,23,4.766705678151617,1.8399999999999999,0.0,0.12327044148246057
SOLUSDT,5m,A4,"{""atr_n"": 16, ""k"": 1.2809075085529313}",-5.912014139091881,-41.08480785546824,-1.4985942463115691,18.75,38,5.973579061707069,3.0399999999999996,0.0,0.20366420766667395
SOLUSDT,5m,A4,"{""atr_n"": 22, ""k"": 1.4789527649635164}",-4.7648240751152375,-34.548165155464915,-1.306905556572206,15.09433962264151,25,4.827139642638667,1.9999999999999998,0.0,0.13398961030702233
SOLUSDT,5m,A4,"{""atr_n"": 22, ""k"": 2.2502971309789768}",-1.9089454015376983,-15.408324274728901,-1.1334500293209573,10.0,5,1.9089454015376983,0.4,0.0,0.02679792206140447
SOLUSDT,5m,A4,"{""atr_n"": 20, ""k"": 2.2587211259695583}",-1.9089454015376983,-15.408324274728901,-1.1334500293209573,10.0,5,1.9089454015376983,0.4,0.0,0.02679792206140447
SOLUSDT,5m,A4,"{""atr_n"": 14, ""k"": 1.5899388376357315}",-3.6087198413275012,-27.31949901150096,-1.3154647465599534,16.666666666666664,17,3.6717918865992627,1.3599999999999999,0.0,0.0911129350087752
SOLUSDT,5m,A4,"{""atr_n"": 20, ""k"": 1.4942562586570394}",-4.7648240751152375,-34.548165155464915,-1.306905556572206,15.09433962264151,25,4.827139642638667,1.9999999999999998,0.0,0.13398961030702233
SOLUSDT,5m,A4,"{""atr_n"": 20, ""k"": 1.7367883139843783}",-1.7115922501163339,-13.919260149777468,-0.5433691817575282,20.0,14,2.9557116039639286,1.1199999999999999,0.0,0.07503418177193251
SOLUSDT,5m,A4,"{""atr_n"": 22, ""k"": 1.9058742686320505}",-0.9056656428446663,-7.5947945863968584,-0.3127769904333487,19.047619047619047,10,1.7946831529033536,0.8,0.0,0.05359584412280894
SOLUSDT,5m,A4,"{""atr_n"": 22, ""k"": 1.9245291475858488}",-0.9056656428446663,-7.5947945863968584,-0.3127769904333487,19.047619047619047,10,1.7946831529033536,0.8,0.0,0.05359584412280894
SOLUSDT,5m,A4,"{""atr_n"": 22, ""k"": 1.8757531783425239}",-0.9056656428446663,-7.5947945863968584,-0.3127769904333487,19.047619047619047,10,1.7946831529033536,0.8,0.0,0.05359584412280894
SOLUSDT,5m,A4,"{""atr_n"": 22, ""k"": 2.3972361942770477}",-1.9089454015376983,-15.408324274728901,-1.1334500293209573,10.0,5,1.9089454015376983,0.4,0.0,0.02679792206140447
SOLUSDT,5m,A4,"{""atr_n"": 22, ""k"": 1.8606231618508835}",-0.9056656428446663,-7.5947945863968584,-0.3127769904333487,19.047619047619047,10,1.7946831529033536,0.8,0.0,0.05359584412280894
SOLUSDT,5m,A4,"{""atr_n"": 20, ""k"": 2.414243759645596}",-1.9089454015376983,-15.408324274728901,-1.1334500293209573,10.0,5,1.9089454015376983,0.4,0.0,0.02679792206140447
SOLUSDT,5m,A4,"{""atr_n"": 24, ""k"": 2.2736024846015135}",-1.9089454015376983,-15.408324274728901,-1.1334500293209573,10.0,5,1.9089454015376983,0.4,0.0,0.02679792206140447
