symbol,tf,rows,last_ts,stale_min,gaps,status
1000000BOBUSDT,5m,21378,1755315300000,1.7,0,OK
1000000BOBUSDT,15m,7128,1755315000000,6.7,0,OK
1000000BOBUSDT,30m,3565,1755315000000,6.7,1,GAPS
1000000BOBUSDT,1h,1784,1755313200000,36.7,1,STALE
1000000BOBUSDT,2h,893,1755309600000,96.7,1,STALE
1000000BOBUSDT,4h,447,1755302400000,216.7,1,STALE
1000000BOBUSDT,1d,73,1755302400000,216.7,0,STALE
1000000MOGUSDT,5m,81810,1755315300000,1.7,0,OK
1000000MOGUSDT,15m,27272,1755315000000,6.7,0,OK
1000000MOGUSDT,30m,13637,1755315000000,6.7,1,GAPS
1000000MOGUSDT,1h,6820,1755313200000,36.7,1,STALE
1000000MOGUSDT,2h,3411,1755309600000,96.7,1,STALE
1000000MOGUSDT,4h,1690,1755302400000,216.7,0,STALE
1000000MOGUSDT,1d,283,1755302400000,216.7,0,STALE
1000BONKUSDT,5m,105318,1755315300000,1.7,0,OK
1000BONKUSDT,15m,35335,1755315000000,6.7,0,OK
1000BONKUSDT,30m,17667,1755315000000,6.7,1,GAPS
1000BONKUSDT,1h,8775,1755313200000,36.7,0,STALE
1000BONKUSDT,2h,4387,1755309600000,96.7,0,STALE
1000BONKUSDT,4h,2193,1755302400000,216.7,0,STALE
1000BONKUSDT,1d,366,1755302400000,216.7,0,STALE
1000CATUSDT,5m,86707,1755315300000,1.7,0,OK
1000CATUSDT,15m,28904,1755315000000,6.7,0,OK
1000CATUSDT,30m,14453,1755315000000,6.7,1,GAPS
1000CATUSDT,1h,7228,1755313200000,36.7,1,STALE
1000CATUSDT,2h,3584,1755309600000,96.7,0,STALE
1000CATUSDT,4h,1792,1755302400000,216.7,0,STALE
1000CATUSDT,1d,300,1755302400000,216.7,0,STALE
1000CHEEMSUSDT,5m,76636,1755315300000,1.7,0,OK
1000CHEEMSUSDT,15m,25547,1755315000000,6.7,0,OK
1000CHEEMSUSDT,30m,12775,1755315000000,6.7,1,GAPS
1000CHEEMSUSDT,1h,6389,1755313200000,36.7,1,STALE
1000CHEEMSUSDT,2h,3196,1755309600000,96.7,1,STALE
1000CHEEMSUSDT,4h,1583,1755302400000,216.7,0,STALE
1000CHEEMSUSDT,1d,265,1755302400000,216.7,0,STALE
1000FLOKIUSDT,5m,105319,1755315300000,1.7,0,OK
1000FLOKIUSDT,15m,35335,1755315000000,6.7,0,OK
1000FLOKIUSDT,30m,17667,1755315000000,6.7,1,GAPS
1000FLOKIUSDT,1h,8775,1755313200000,36.7,0,STALE
1000FLOKIUSDT,2h,4387,1755309600000,96.7,0,STALE
1000FLOKIUSDT,4h,2193,1755302400000,216.7,0,STALE
1000FLOKIUSDT,1d,366,1755302400000,216.7,0,STALE
1000LUNCUSDT,5m,105319,1755315300000,1.7,0,OK
1000LUNCUSDT,15m,35106,1755315000000,6.8,0,OK
1000LUNCUSDT,30m,17553,1755315000000,6.8,0,OK
1000LUNCUSDT,1h,8775,1755313200000,36.8,0,STALE
1000LUNCUSDT,2h,4387,1755309600000,96.8,0,STALE
1000LUNCUSDT,4h,2193,1755302400000,216.8,0,STALE
1000LUNCUSDT,1d,366,1755302400000,216.8,0,STALE
1000PEPEUSDT,5m,105319,1755315300000,1.8,0,OK
1000PEPEUSDT,15m,35106,1755315000000,6.8,0,OK
1000PEPEUSDT,30m,17553,1755315000000,6.8,0,OK
1000PEPEUSDT,1h,8775,1755313200000,36.8,0,STALE
1000PEPEUSDT,2h,4387,1755309600000,96.8,0,STALE
1000PEPEUSDT,4h,2193,1755302400000,216.8,0,STALE
1000PEPEUSDT,1d,366,1755302400000,216.8,0,STALE
1000RATSUSDT,5m,105319,1755315300000,1.8,0,OK
1000RATSUSDT,15m,35106,1755315000000,6.8,0,OK
1000RATSUSDT,30m,17553,1755315000000,6.8,0,OK
1000RATSUSDT,1h,8775,1755313200000,36.8,0,STALE
1000RATSUSDT,2h,4387,1755309600000,96.8,0,STALE
1000RATSUSDT,4h,2193,1755302400000,216.8,0,STALE
1000RATSUSDT,1d,366,1755302400000,216.8,0,STALE
1000SATSUSDT,5m,105319,1755315300000,1.8,0,OK
1000SATSUSDT,15m,35106,1755315000000,6.8,0,OK
