Symbol,时间周期,策略,参数JSON,总收益(%),夏普比,最大回撤(%),胜率(%),交易次数
BTCUSDT,5m,A5,"{""lookback"": 40, ""lr"": 0.07303559752835692, ""n_estimators"": 250, ""num_leaves"": 58}",-99.69921202257419,-4.611566182672005,99.69921202257419,36.05008268367588,4288
BTCUSDT,5m,A5,"{""lookback"": 22, ""lr"": 0.07165582891480608, ""n_estimators"": 250, ""num_leaves"": 40}",-99.90629431436506,-5.817937924697873,99.9063182910435,32.184255619393205,4674
BTCUSDT,5m,A5,"{""lookback"": 24, ""lr"": 0.05705965107638018, ""n_estimators"": 150, ""num_leaves"": 36}",-99.89874444262445,-5.674171209955026,99.89875590643194,32.39718155014742,4623
BTCUSDT,5m,A5,"{""lookback"": 42, ""lr"": 0.055547204799548444, ""n_estimators"": 200, ""num_leaves"": 44}",-99.67754680060341,-5.038369433628321,99.67754680060341,33.46294730910115,4295
BTCUSDT,5m,A5,"{""lookback"": 30, ""lr"": 0.03724137919119403, ""n_estimators"": 150, ""num_leaves"": 48}",-99.8398786580581,-5.524874006936,99.84032220274756,32.86742463752999,4770
BTCUSDT,5m,A5,"{""lookback"": 42, ""lr"": 0.0465166039011472, ""n_estimators"": 150, ""num_leaves"": 56}",-99.70025014057855,-4.973013074286642,99.70025014057855,33.98310591293047,4352
BTCUSDT,5m,A5,"{""lookback"": 46, ""lr"": 0.02490481651712935, ""n_estimators"": 300, ""num_leaves"": 54}",-99.46228468841574,-4.211548948749145,99.46228468841574,37.30243382139048,3689
BTCUSDT,5m,A5,"{""lookback"": 30, ""lr"": 0.06488214637762404, ""n_estimators"": 250, ""num_leaves"": 34}",-99.90950082553812,-5.427237245936898,99.90951763822798,33.753333946472914,4637
BTCUSDT,5m,A5,"{""lookback"": 38, ""lr"": 0.023244672466651038, ""n_estimators"": 250, ""num_leaves"": 54}",-99.58935120376196,-4.7895002255855434,99.58935120376196,34.017892308557926,4478
BTCUSDT,5m,A5,"{""lookback"": 42, ""lr"": 0.046099877219048374, ""n_estimators"": 200, ""num_leaves"": 42}",-99.4848280045532,-4.46539020277107,99.4848280045532,36.178290945025225,4025
