Symbol,时间周期,策略,参数JSON,总收益(%),年化(%),夏普比,胜率(%),交易次数,最大回撤(%),手续费滑点成本(%),资金费率影响(%),冲击成本(%)
BTCUSDT,5m,A1,"{""n"": 2.1921903962826255, ""period"": 32}",-53.21273007035842,-22.65552549406974,-1.813446304806206,23.157894736842106,531,53.5179060384241,42.48,0.0,2.1257341035615
BTCUSDT,5m,A1,"{""n"": 2.1731986594738184, ""period"": 22}",-57.4931943637081,-25.125185363845148,-2.182497513950735,18.40642371834466,599,57.4931943637081,47.919999999999995,0.0,2.3979561733207886
BTCUSDT,5m,A1,"{""n"": 1.3178576407208384, ""period"": 20}",-90.30038828713312,-54.57488184457825,-3.5303436879705443,27.620261229690986,1500,90.30038828713312,120.0,0.0,6.004898597631357
BTCUSDT,5m,A1,"{""n"": 1.5395473871893364, ""period"": 24}",-84.2006425303151,-46.42518617644355,-3.0699015227149076,27.04507512520868,1233,84.2006425303151,98.64,0.0,4.936026647252975
BTCUSDT,5m,A1,"{""n"": 1.3546314330832145, ""period"": 26}",-86.1951139455066,-48.815494039527685,-2.965644619021668,30.29172320217096,1304,86.1951139455066,104.32,0.0,5.220258514207526
BTCUSDT,5m,A1,"{""n"": 1.4576385737879747, ""period"": 30}",-82.44424424189712,-44.480621245792115,-2.724139787024228,30.190513219284604,1152,82.44735975687507,92.16,0.0,4.611762122980881
BTCUSDT,5m,A1,"{""n"": 2.7951795358401688, ""period"": 30}",-21.256141799313877,-7.764522553605724,-0.9312966660016282,21.00456621004566,173,21.729754629322294,13.84,0.0,0.6925649715934832
BTCUSDT,5m,A1,"{""n"": 2.528143411795969, ""period"": 20}",-33.693323307283194,-12.97452663845835,-1.3788195368800744,17.971014492753625,287,33.99962235692998,22.959999999999997,0.0,1.1489372650134662
BTCUSDT,5m,A1,"{""n"": 2.4342093081533394, ""period"": 30}",-40.14393753673772,-15.935499134475739,-1.4830920313734306,21.32796780684105,360,40.43295471356243,28.799999999999997,0.0,1.4411756634315254
BTCUSDT,5m,A1,"{""n"": 1.9688914699379858, ""period"": 24}",-68.40916811709782,-32.27647239951066,-2.434107630632142,21.8303946263644,771,68.40916811709782,61.67999999999999,0.0,3.0865178791825167
BTCUSDT,5m,A1,"{""n"": 1.2660165717934604, ""period"": 18}",-91.97068733615586,-57.387599063118124,-3.733959223017435,27.198455139631612,1631,91.9810714935447,130.48,0.0,6.527324775625284
BTCUSDT,5m,A1,"{""n"": 2.173043815856095, ""period"": 30}",-55.05762656708188,-23.700806784788963,-1.8758790880888763,22.961630695443645,555,55.35076896116012,44.39999999999999,0.0,2.2218124811236017
BTCUSDT,5m,A1,"{""n"": 2.3680633605792862, ""period"": 22}",-44.66207459735887,-18.13765440934949,-1.7626061851330408,17.84037558685446,413,44.66207459735887,33.04,0.0,1.6533487472145
BTCUSDT,5m,A1,"{""n"": 1.9474377053366498, ""period"": 20}",-71.79560238894061,-34.82455682054746,-2.6816664229880676,19.528071602929213,852,71.79560238894061,68.16,0.0,3.4107824034546104
BTCUSDT,5m,A1,"{""n"": 2.6491706170147076, ""period"": 22}",-27.33927837125041,-10.238884609619426,-1.1605417141252559,18.40607210626186,218,27.74026340176188,17.439999999999998,0.0,0.8727119295224238
BTCUSDT,5m,A1,"{""n"": 2.780379539136056, ""period"": 32}",-20.643439733010062,-7.52240837822491,-0.9251608495320875,22.51082251082251,180,21.24661756083639,14.399999999999999,0.0,0.7205878317157628
BTCUSDT,5m,A1,"{""n"": 2.5025335479157778, ""period"": 32}",-35.64487537479233,-13.849414313652364,-1.3191335598182965,21.74913693901036,314,35.95561643706645,25.119999999999997,0.0,1.2570254397708305
