Symbol,时间周期,策略,参数JSON,总收益(%),夏普比,最大回撤(%),胜率(%),交易次数
BTCUSDT,5m,A1,"{""n"": 2.1921903962826255, ""period"": 32}",-53.21273007035842,-1.813446304806206,53.5179060384241,23.157894736842106,531
BTCUSDT,5m,A1,"{""n"": 2.1731986594738184, ""period"": 22}",-57.4931943637081,-2.182497513950735,57.4931943637081,18.40642371834466,599
BTCUSDT,5m,A1,"{""n"": 1.3178576407208384, ""period"": 20}",-90.30038828713312,-3.5303436879705443,90.30038828713312,27.620261229690986,1500
BTCUSDT,5m,A1,"{""n"": 1.5395473871893364, ""period"": 24}",-84.2006425303151,-3.0699015227149076,84.2006425303151,27.04507512520868,1233
BTCUSDT,5m,A1,"{""n"": 1.3546314330832145, ""period"": 26}",-86.1951139455066,-2.965644619021668,86.1951139455066,30.29172320217096,1304
BTCUSDT,5m,A1,"{""n"": 1.4576385737879747, ""period"": 30}",-82.44424424189712,-2.724139787024228,82.44735975687507,30.190513219284604,1152
BTCUSDT,5m,A1,"{""n"": 2.7951795358401688, ""period"": 30}",-21.256141799313877,-0.9312966660016282,21.729754629322294,21.00456621004566,173
BTCUSDT,5m,A1,"{""n"": 2.528143411795969, ""period"": 20}",-33.693323307283194,-1.3788195368800744,33.99962235692998,17.971014492753625,287
BTCUSDT,5m,A1,"{""n"": 2.4342093081533394, ""period"": 30}",-40.14393753673772,-1.4830920313734306,40.43295471356243,21.32796780684105,360
BTCUSDT,5m,A1,"{""n"": 1.9688914699379858, ""period"": 24}",-68.40916811709782,-2.434107630632142,68.40916811709782,21.8303946263644,771
BTCUSDT,5m,A1,"{""n"": 1.2660165717934604, ""period"": 18}",-91.97068733615586,-3.733959223017435,91.9810714935447,27.198455139631612,1631
BTCUSDT,5m,A1,"{""n"": 2.173043815856095, ""period"": 30}",-55.05762656708188,-1.8758790880888763,55.35076896116012,22.961630695443645,555
BTCUSDT,5m,A1,"{""n"": 2.3680633605792862, ""period"": 22}",-44.66207459735887,-1.7626061851330408,44.66207459735887,17.84037558685446,413
BTCUSDT,5m,A1,"{""n"": 1.9474377053366498, ""period"": 20}",-71.79560238894061,-2.6816664229880676,71.79560238894061,19.528071602929213,852
BTCUSDT,5m,A1,"{""n"": 2.6491706170147076, ""period"": 22}",-27.33927837125041,-1.1605417141252559,27.74026340176188,18.40607210626186,218
BTCUSDT,5m,A1,"{""n"": 2.780379539136056, ""period"": 32}",-20.643439733010062,-0.9251608495320875,21.24661756083639,22.51082251082251,180
BTCUSDT,5m,A1,"{""n"": 2.5025335479157778, ""period"": 32}",-35.64487537479233,-1.3191335598182965,35.95561643706645,21.74913693901036,314
BTCUSDT,5m,A1,"{""n"": 1.3649313058184984, ""period"": 24}",-87.87676191780574,-3.1968115206505874,87.87676191780574,29.013180128421762,1365
BTCUSDT,5m,A1,"{""n"": 2.5597678822237917, ""period"": 22}",-31.507610944886178,-1.305894105585408,31.839831893367087,18.931297709923665,270
BTCUSDT,5m,A1,"{""n"": 2.3408712344230844, ""period"": 26}",-44.43233847869374,-1.6535450855202116,44.55816229435279,20.444824636441403,434
BTCUSDT,5m,A1,"{""n"": 1.7309580124257242, ""period"": 34}",-72.86449906719807,-2.3596434228003877,72.9157314967094,29.119638826185103,892
BTCUSDT,5m,A1,"{""n"": 2.7998359489058497, ""period"": 28}",-21.88289933230819,-0.9735582624741795,22.352742466295705,19.57547169811321,167
BTCUSDT,5m,A1,"{""n"": 2.7698291839913645, ""period"": 34}",-21.358166711332704,-0.9203352620283983,21.64469580522004,23.298969072164947,184
BTCUSDT,5m,A1,"{""n"": 2.6953645579828858, ""period"": 34}",-23.86018447417213,-1.0059307627662237,24.14792077948339,22.552447552447553,216
