Symbol,时间周期,策略,参数JSON,总收益(%),年化(%),夏普比,胜率(%),交易次数,最大回撤(%),手续费滑点成本(%),资金费率影响(%),冲击成本(%)
ETHUSDT,5m,A5,"{""lookback"": 40, ""lr"": 0.07303559752835692, ""n_estimators"": 250, ""num_leaves"": 58}",-49.82928407330552,-51.12844901183345,-0.11125582274092102,44.797225186766276,1409,67.81672812935047,112.72,0.0,4.600971868846956
ETHUSDT,5m,A5,"{""lookback"": 22, ""lr"": 0.07165582891480608, ""n_estimators"": 250, ""num_leaves"": 40}",-67.92818930693012,-69.28591642573501,-0.23801935550751127,44.26832361146335,1188,78.94500455581966,95.03999999999999,0.0,3.8793148191555593
ETHUSDT,5m,A5,"{""lookback"": 24, ""lr"": 0.05705965107638018, ""n_estimators"": 150, ""num_leaves"": 36}",-48.16904147919888,-49.448636206157545,-0.10286811416683177,43.70842179759377,1675,70.53897256602096,134.0,0.0,5.469572661688184
ETHUSDT,5m,A5,"{""lookback"": 42, ""lr"": 0.055547204799548444, ""n_estimators"": 200, ""num_leaves"": 44}",-49.11996861962328,-50.411027160268084,-0.1065308649071773,46.02221938449751,1124,68.08502057368581,89.91999999999999,0.0,3.670328162231354
ETHUSDT,5m,A5,"{""lookback"": 30, ""lr"": 0.03724137919119403, ""n_estimators"": 150, ""num_leaves"": 48}",-7.324997775562913,-7.592772728775243,0.06519630505453555,50.66126534016442,125,53.06730463913847,10.0,0.0,0.4081770643050884
ETHUSDT,5m,A5,"{""lookback"": 42, ""lr"": 0.0465166039011472, ""n_estimators"": 150, ""num_leaves"": 56}",-40.88478987969542,-42.055101595827225,-0.06351488106357371,46.79535705273782,1047,63.52450329756935,83.75999999999999,0.0,3.418891090619419
ETHUSDT,5m,A5,"{""lookback"": 46, ""lr"": 0.02490481651712935, ""n_estimators"": 300, ""num_leaves"": 54}",-34.51773389364264,-35.56386657354199,-0.03450327438590721,47.228855096141764,1071,60.93966030578129,85.67999999999999,0.0,3.497261086965997
ETHUSDT,5m,A5,"{""lookback"": 30, ""lr"": 0.06488214637762404, ""n_estimators"": 250, ""num_leaves"": 34}",-38.257516205750264,-39.37965539690741,-0.05052878652208979,48.527992277992276,481,60.75850688914495,38.48,0.0,1.5706653434459799
ETHUSDT,5m,A5,"{""lookback"": 38, ""lr"": 0.023244672466651038, ""n_estimators"": 250, ""num_leaves"": 54}",-28.937711455865834,-29.85513424769295,-0.011789773593490122,46.05532088840442,1539,63.40927196109914,123.11999999999999,0.0,5.025476015724247
ETHUSDT,5m,A5,"{""lookback"": 42, ""lr"": 0.046099877219048374, ""n_estimators"": 200, ""num_leaves"": 42}",-36.04904685404888,-37.12733164814872,-0.040648133044858765,48.169462470919555,705,60.12493662640968,56.39999999999999,0.0,2.302118642680698
ETHUSDT,5m,A5,"{""lookback"": 48, ""lr"": 0.036099485222632254, ""n_estimators"": 150, ""num_leaves"": 32}",-18.22477453201825,-18.84821365544146,0.02949955620324908,49.99402128422815,214,52.34860320861101,17.119999999999997,0.0,0.6987991340903114
