Symbol,时间周期,策略,参数JSON,总收益(%),年化(%),夏普比,胜率(%),交易次数,最大回撤(%),手续费滑点成本(%),资金费率影响(%),冲击成本(%)
ADAUSDT,5m,A1,"{""n"": 2.1921903962826255, ""period"": 32}",-60.46003168417864,-20.947962122383267,-0.7051007887345676,30.67078552515446,736,62.07335959630584,58.879999999999995,0.0,17.506346099761437
ADAUSDT,5m,A1,"{""n"": 2.1731986594738184, ""period"": 22}",-70.07576433660807,-26.33595889355177,-0.939579494928854,26.422764227642276,809,70.71438744070859,64.72,0.0,19.24270923193886
ADAUSDT,5m,A1,"{""n"": 1.3178576407208384, ""period"": 20}",-96.89549167653291,-58.508317137546996,-1.5725375648427586,35.53556021200542,1939,96.90811301572293,155.12,0.0,46.10876618802655
ADAUSDT,5m,A1,"{""n"": 1.5395473871893364, ""period"": 24}",-92.44319174936652,-48.019800337666354,-1.303066361787029,34.71569739186781,1565,92.47391385740667,125.19999999999997,0.0,37.212878360158655
ADAUSDT,5m,A1,"{""n"": 1.3546314330832145, ""period"": 26}",-93.6287678360768,-50.219226995813095,-1.2467930091242718,37.54583551597695,1675,93.81250921162523,134.0,0.0,39.829315956590385
ADAUSDT,5m,A1,"{""n"": 1.4576385737879747, ""period"": 30}",-90.70368724431334,-45.2187980884576,-1.1182632200891895,37.85025945144552,1493,90.95320034463117,119.44,0.0,35.50030102431243
ADAUSDT,5m,A1,"{""n"": 2.7951795358401688, ""period"": 30}",-24.206645471773626,-6.780725806246624,-0.3560723669496053,28.390596745027125,229,25.704761882953353,18.319999999999997,0.0,5.44694735984425
ADAUSDT,5m,A1,"{""n"": 2.528143411795969, ""period"": 20}",-34.498284959385785,-10.164207907913724,-0.49117239272642765,25.524475524475527,366,35.835173778911866,29.279999999999994,0.0,8.705601457218325
ADAUSDT,5m,A1,"{""n"": 2.4342093081533394, ""period"": 30}",-45.71854645066274,-14.340303695419854,-0.5613516271716931,28.1226626776365,484,47.57966992780604,38.72,0.0,11.51232542429964
ADAUSDT,5m,A1,"{""n"": 1.9688914699379858, ""period"": 24}",-79.43730983515832,-33.01532083734868,-1.0525716394134481,30.12440758293839,1079,79.86607994953772,86.32,0.0,25.664874241362213
ADAUSDT,5m,A1,"{""n"": 1.2660165717934604, ""period"": 18}",-97.55483892363478,-60.9434953583647,-1.6500038855531989,35.19824297769044,2081,97.56477969495943,166.48,0.0,49.48634926705661
ADAUSDT,5m,A1,"{""n"": 2.173043815856095, ""period"": 30}",-63.23575790983136,-22.39230108036281,-0.7660489461825017,29.936034115138593,777,64.31456037953842,62.16,0.0,18.481563749340538
ADAUSDT,5m,A1,"{""n"": 2.3680633605792862, ""period"": 22}",-56.0067153431913,-18.781416669206507,-0.789926549029589,25.635593220338983,558,56.30780446490648,44.63999999999999,0.0,13.272474352808263
ADAUSDT,5m,A1,"{""n"": 1.9474377053366498, ""period"": 20}",-83.42536208140623,-36.57598348196755,-1.1966573943301366,27.573209625978546,1180,83.9788071194141,94.39999999999999,0.0,28.067239670813173
ADAUSDT,5m,A1,"{""n"": 2.6491706170147076, ""period"": 22}",-26.963792054087666,-7.651736311531709,-0.3924252666267762,25.56732223903177,285,29.730121433268685,22.799999999999997,0.0,6.778951954391317
ADAUSDT,5m,A1,"{""n"": 2.780379539136056, ""period"": 32}",-26.861957147986892,-7.619132717274524,-0.38580838853508215,27.860696517412936,241,27.237519369176066,19.279999999999998,0.0,5.732376915818622
ADAUSDT,5m,A1,"{""n"": 2.5025335479157778, ""period"": 32}",-42.88477459180958,-13.228828999156296,-0.5285490659937079,27.65598650927487,427,44.929815082923916,34.16,0.0,10.156535033421378
ADAUSDT,5m,A1,"{""n"": 1.3649313058184984, ""period"": 24}",-94.49309542544407,-52.02431616828511,-1.3311936689127486,36.78763264771388,1764,94.56877932726424,141.11999999999998,0.0,41.94625183006697
ADAUSDT,5m,A1,"{""n"": 2.5597678822237917, ""period"": 22}",-38.1249224911213,-11.451227650520057,-0.5567773156175323,25.402298850574713,372,39.27506022731041,29.759999999999998,0.0,8.848316235205509
